"assignment","k5","k6","time"
2,0.023026308514694,2.13573109738677,4
3,0.0395628030291009,2.94375602642615,0
3,0.0371266676542875,2.85631637971615,1
3,0.0333861858113804,3.10369829834711,2
3,0.02608220422549,3.07673903974806,3
3,0.0278883626437512,2.93313414216701,4
4,0.0413518467862529,2.90613577852567,0
4,0.0417771382691245,3.53997896639119,1
4,0.0426430646265971,3.36492351257557,2
4,0.0399179233821994,3.02676897886493,3
4,0.0396843762094779,2.08445055087768,4
1,0.038665850271144,3.06944668495397,0
1,0.0382598708574769,3.17808371178675,1
1,0.038102069463498,3.01212949816743,2
1,0.0408527828589224,3.07040824069112,3
1,0.0395172053378138,3.00954023943941,4
2,0.0415380226428955,2.82522408995083,0
2,0.0347492164615487,3.54844827771799,1
2,0.0312883488346608,3.70440047927652,2
2,0.0290772061813677,3.09866001028977,3
2,0.0215875882919413,2.16313202703915,4
3,0.0394937346108848,2.98771841837753,0
3,0.0341095052367109,3.05983896525959,1
3,0.0303376696955087,2.97285336222691,2
3,0.0286102813271222,2.90597810531843,3
3,0.0249327862490881,2.8420187518018,4
4,0.0355043605136631,3.0557961588943,0
4,0.0413448637231376,3.47569854916903,1
4,0.0408066020073466,3.40129001698996,2
4,0.0397965622290789,2.85701779487513,3
4,0.0418898894263016,2.38318930338518,4
1,0.0417184196164512,2.99671836403035,0
1,0.0399466714523585,2.81807188522187,1
1,0.0412646165502212,2.97471189831699,2
1,0.0389492113194223,2.830556904881,3
1,0.039520380005366,2.898112663798,4
2,0.0393647511674755,2.85388800146837,0
2,0.0387001431727131,3.50807969673504,1
2,0.0337199121236358,3.22779603956908,2
2,0.0272748834720083,3.00894212500895,3
2,0.0220433181130145,2.34559309850689,4
3,0.0377355489283688,3.03820683124896,0
3,0.0373542980569275,3.02138282261016,1
3,0.0305995912360072,3.1129398968069,2
3,0.0282729409309453,2.87238025123415,3
3,0.0217791215238367,3.25040609213918,4
4,0.0389143949673305,2.77733140152984,0
4,0.0408532149804058,3.54722763072731,1
4,0.0378338650628438,3.30684523037017,2
4,0.0398139159725462,3.22672755500513,3
4,0.0410177984562914,2.10084750910056,4
1,0.038665298829465,3.03252801081007,0
1,0.0402517653555459,3.07556540960313,1
1,0.0393667232795378,3.10792248638437,2
1,0.038670701556262,2.9603346359856,3
1,0.0411853032379614,3.11879659303525,4
2,0.0368983924776746,3.01286284884194,0
2,0.0369740464187754,3.33590108238112,1
2,0.0327690009598003,3.44061908755238,2
2,0.0296324048194631,3.15461784385232,3
2,0.025230483671993,2.17448631951444,4
3,0.0413818374946524,3.16566174339774,0
3,0.039145996824729,2.99659259343011,1
3,0.0284015182554682,3.00378312055128,2
3,0.02832889793352,2.98135855834267,3
3,0.0249092617932433,3.12128135574171,4
4,0.0391712281117315,2.96470856074127,0
4,0.0406365475340805,3.4439731510213,1
4,0.0401460278135812,3.30459508813376,2
4,0.0382081604457638,2.93066934292751,3
4,0.0386342020852364,2.07680345664832,4
1,0.0406116882280742,3.11785356030272,0
1,0.0388361863534599,2.88037932211464,1
1,0.0383332978256168,2.95024935283636,2
1,0.0396175534909559,3.05803410406059,3
1,0.0394858802525306,2.7505812877368,4
2,0.0398537051591198,3.14246241727819,0
2,0.0379065620296165,3.41532441382665,1
2,0.0295235575301799,3.83496725902383,2
2,0.0277401248920329,3.07830584998733,3
2,0.024672918701917,1.96631526520571,4
3,0.0388348494220939,2.8151469113652,0
3,0.0348910486175831,3.01426193196055,1
3,0.0298164648672209,3.07079792152408,2
3,0.0284629504461077,2.89149419692552,3
3,0.0243621199078097,3.08976973949926,4
4,0.0416977524052188,2.97445820656242,0
4,0.0398501811297423,3.49959430380217,1
4,0.0423063388096881,3.67500862707336,2
4,0.0413350425084113,3.05551910401912,3
4,0.0405971862946663,2.20839483974648,4
1,0.0383333227291371,2.79260345816151,0
1,0.0410269280442426,2.81648273625835,1
1,0.0400026939015747,3.0300297385618,2
1,0.0409021878244894,3.02273114850178,3
1,0.0388274339099246,3.11836390318746,4
2,0.04278181402705,3.10574145707105,0
2,0.0328901585578816,3.67794914224835,1
2,0.031910310486102,3.60298971351831,2
2,0.0289952531773937,3.0783976712152,3
2,0.023879578883762,2.28229884831971,4
3,0.041138563075978,3.11883146952531,0
3,0.0398126827123685,3.07972990364329,1
3,0.0323318098518165,2.73472402673093,2
3,0.0323067424051938,2.94207878138444,3
3,0.0277995755441526,3.0449572281606,4
4,0.0424614883182349,2.98683476145885,0
4,0.040818353207517,3.53567495755707,1
4,0.0397022068810024,3.5255527410453,2
4,0.0416205349373508,3.06582502236342,3
4,0.0367397080088947,2.13649329014042,4
1,0.040863664968858,3.07397468596217,0
1,0.0409865085079639,2.79694781749571,1
1,0.0405899872928179,3.11614310519365,2
1,0.0420425258903483,2.97300464747471,3
1,0.0394849718621075,3.17854053982536,4
2,0.0373313151267531,2.94758040277042,0
2,0.0367319393269719,3.31586714815425,1
2,0.0324474045798908,3.76534368252626,2
2,0.0279935029545019,3.05658551700437,3
2,0.0247598587424545,2.12651133950552,4
3,0.0413014405985265,3.10853225573396,0
3,0.0360043066579682,2.85879694107003,1
3,0.0298908468360655,2.92884031612136,2
3,0.0292758088008797,2.76501537904117,3
3,0.0209818797460279,2.92154642102879,4
4,0.0406310317567689,2.8903720742202,0
4,0.0414187984593537,3.55000439641862,1
4,0.0397269766108182,3.63825937638381,2
4,0.040621384260511,3.03648779673454,3
4,0.0403697838950691,2.23770160295731,4
1,0.0405700533517793,2.92103877504606,0
1,0.0413683235281027,3.13835234706703,1
1,0.0404420392904693,3.01729255949546,2
1,0.0398789998707523,3.25936990155633,3
1,0.0404421048514173,2.98100471655601,4
2,0.0359873315164844,2.81216618819634,0
2,0.0358757228790231,3.53475528538117,1
2,0.0324429959341786,3.63858081365383,2
2,0.0276893561450873,3.23575065533791,3
2,0.0225255743314087,2.01498687354683,4
3,0.0380336221159139,3.08907564290238,0
3,0.0358673280922572,3.09477815061846,1
3,0.0315716697255087,2.92897294773446,2
3,0.0274106358797976,2.77768598109099,3
3,0.0221286155833374,2.82695584243699,4
4,0.0416869156351606,2.92832038903646,0
4,0.0412631357644643,3.69197887220303,1
4,0.0396931603054241,3.57406546876228,2
4,0.0371982919689663,2.99175962669762,3
4,0.0400899437590125,2.19589042840034,4
1,0.0387849630123218,3.32218307990722,0
1,0.0392665757774522,3.0077092267956,1
1,0.0410396669874456,2.99687776382712,2
1,0.0389702921807566,3.1254366796756,3
1,0.0425848725171315,2.99643672347402,4
2,0.0408996277526449,2.98831050017968,0
2,0.0376263283483235,3.37125991268882,1
2,0.0357133763583912,3.4675762502654,2
2,0.0256658409368991,3.04788986073683,3
2,0.024234733574632,2.35483454492163,4
3,0.0414579354828341,3.01709501184549,0
3,0.0337768263616189,2.89607547063935,1
3,0.0317387441084331,3.30636313361527,2
3,0.0250236358812505,3.13572655822152,3
3,0.0231564251884257,3.19991890799849,4
4,0.0381772789760426,3.01723478815953,0
4,0.0382407184932756,3.6184219711634,1
4,0.0423740471819809,3.77408652076814,2
4,0.0412761610521432,3.31119195054934,3
4,0.0419942782538586,2.14417501058112,4
1,0.0407632595812555,2.88336069462289,0
1,0.0397036765289584,3.14651564500186,1
1,0.0408660546295718,3.05488287979504,2
1,0.0383389903365005,2.92745841235991,3
1,0.0387766303779943,3.04743550440162,4
2,0.0384151877912535,3.06744496681189,0
2,0.0342137337409063,3.72942365497624,1
2,0.032736946159165,3.45587956652961,2
2,0.028385673492002,3.04770561609265,3
2,0.0245938367356155,2.18922392625124,4
3,0.0383774173237416,2.90504233454166,0
3,0.0364793498955833,3.19668622905019,1
3,0.0337353872138735,2.92505190316583,2
3,0.029321476642636,2.99417179766925,3
3,0.0244821018427494,3.03124337888839,4
4,0.0441207196219574,2.85776534272953,0
4,0.0401614717744206,3.29640272544389,1
4,0.040943737476734,3.67159301660657,2
4,0.0423130595857618,2.85898256977955,3
4,0.0406604311955105,2.35120439416604,4
1,0.0393375746191323,2.97454193615017,0
1,0.0399415404444724,3.04380225017196,1
1,0.0410642558011935,3.15813850604538,2
1,0.039847219855288,3.0235533654567,3
1,0.0439807966035543,3.0517318713738,4
2,0.0403020049749277,2.83893082496599,0
2,0.0360045696761956,3.48344086161997,1
2,0.031982326672305,3.47094988304746,2
2,0.0269010949560917,3.00350716418159,3
2,0.0236567927753604,2.32417591776344,4
3,0.0416785386024949,2.95680298584683,0
3,0.033302533672738,2.89864998857569,1
3,0.0312675831468152,3.0124365605074,2
3,0.0269398283588787,3.24080168289983,3
3,0.0235643719449306,2.85432666357126,4
4,0.039773981188348,2.87935469020879,0
4,0.0402498491316405,3.53803603369078,1
4,0.0405689401786054,3.34537700890509,2
4,0.040353138065553,3.127254009665,3
4,0.0377262264839928,2.27464387676765,4
1,0.0412546734065509,3.27595432333853,0
1,0.0402507247798012,3.00560802330216,1
1,0.0401545373345319,3.00837194770804,2
1,0.0370424435594597,2.79946475296293,3
1,0.0398759376531341,2.93027191433202,4
2,0.0400875784400919,2.74665499520874,0
2,0.0336020827927572,3.37782198732735,1
2,0.0335776931536964,3.40818119914919,2
2,0.0267207776742776,3.09958485824089,3
2,0.0234836058210798,2.17757006144016,4
3,0.0436880991712731,2.86504755944901,0
3,0.0355112485761443,2.93798886603075,1
3,0.0344198326829319,2.90766180925317,2
3,0.0278686609539589,3.09445603371872,3
3,0.0223062551424826,3.19862109788904,4
4,0.0410812198647588,2.87109520685636,0
4,0.0407273244944924,3.48440314281203,1
4,0.0405011660351909,3.52920297635812,2
4,0.0417128256588453,2.9278679537156,3
4,0.0391638132844865,2.13009711866935,4
